formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C4H4N3O3	[M - H]-	C4H3N3O3-	Alkaloids	0,738	Histidine alkaloids	0,939	Imidazole alkaloids	0,939	Organic 1,3-dipolar compounds	0,628	Allyl-type 1,3-dipolar organic compounds	0,682	Organic nitro compounds	0,705	C-nitro compounds	0,644	Nitroaromatic compounds	0,587	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic nitro compounds; Organic oxoazanium compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	141,017	67	1,117	650278121312220634	650277879267311445	153	
1	C12H12N4O8S2	[M - H]-	C12H11N4O8S2-	Amino acids and Peptides	0,341	β-lactams	0,020	Cephalosporins	0,009	Organic oxygen compounds	1,000	Organooxygen compounds	1,000	Ethers	0,881	Alkyl aryl ethers	0,937	Alkyl aryl ethers	0,937	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonylureas; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acid esters; Carbonyl compounds; Aminosulfonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	403,000	67	1,118	650278126890646836	650277981167935351	1802	
1	C6H15O16P3	[M - H]-	C6H14O16P3-	Carbohydrates	0,997	Polyols	0,829	Cyclitols	0,877	Organic oxygen compounds	1,000	Organooxygen compounds	0,999	Carbohydrates and carbohydrate conjugates	0,906	Monosaccharides	0,834	Hexoses	0,655	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Hexoses; Monosaccharides; Monosaccharide phosphates; Secondary alcohols; Oxanes; Polyols; Alkyl phosphates; Monoalkyl phosphates; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	434,948	67	1,120	650278131286279144	650277983130869787	1834	
1	C10H16N4O4	[M - H]-	C10H15N4O4-	Amino acids and Peptides	1,000	Small peptides	1,000	Aminoacids	1,000	Organic acids and derivatives	1,000	Carboxylic acids and derivatives	1,000	Amino acids, peptides, and analogues	1,000	Amino acids and derivatives	1,000	Arginine and derivatives	0,552	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; Alpha amino acids; Amines; Primary amines; Carboximidamides; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Arginine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	255,108	67	1,123	650278126769011978	650277910615543133	884	
3	C6H12O12P2	[M - H]-	C6H11O12P2-	Carbohydrates	0,997	Saccharides	0,750	Cyclitols	0,753	Organic oxygen compounds	1,000	Organooxygen compounds	1,000	Carbohydrates and carbohydrate conjugates	0,823	Monosaccharides	0,786	Monosaccharide phosphates	0,741	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Monosaccharides; Monosaccharide phosphates; Secondary alcohols; Oxanes; Polyols; Alkyl phosphates; Monoalkyl phosphates; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	336,972	67	1,124	650278137686788770	650277957986015595	1499	
2	C7H9ClO7	[M - H]-	C7H8ClO7-	Fatty acids	0,257	Fatty Acids and Conjugates	0,126	Halogenated fatty acids	0,192	Organohalogen compounds	0,999	Halohydrins	0,521	Chlorohydrins	0,545			Chlorohydrins	0,545	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Secondary alcohols; Carbonyl compounds; Halohydrins; Chlorohydrins; Alkyl halides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	238,994	67	1,124	650278127981166166	650277905217473296	765	
3	C7H9N3O6P2	[M - H]-	C7H8N3O6P2-	Alkaloids	0,323	Histidine alkaloids	0,222	Imidazole alkaloids	0,223	Organic acids and derivatives	0,987	Organic phosphoric acids and derivatives	0,835					Organic phosphoric acids and derivatives	0,835	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Amines; Primary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	291,989	68	1,125	650278136822761970	650277924897149319	1094	
4	C9H11N2O7PS	[M - H]-	C9H10N2O7PS-	Amino acids and Peptides	0,926	Small peptides	0,593	Aminoacids	0,745	Organic acids and derivatives	0,998	Carboxylic acids and derivatives	0,854	Monocarboxylic acids and derivatives	0,714			Monocarboxylic acids and derivatives	0,714	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Monocarboxylic acids and derivatives; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	320,998	68	1,127	650278136294279547	650277949287028511	1383	
1	C5H6N2S2	[M - H]-	C5H5N2S2-	Alkaloids	0,415	Nicotinic acid alkaloids	0,072	Pyridine alkaloids	0,071	Organoheterocyclic compounds	0,873	Heteroaromatic compounds	0,867					Heteroaromatic compounds	0,867	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	156,991	68	1,129	650278126244723847	650277882975076581	233	
1	C5H14NO6P	[M - H]-	C5H13NO6P-	Amino acids and Peptides	0,698	Small peptides	0,528	Aminoacids	0,537	Organic acids and derivatives	0,914	Organic phosphoric acids and derivatives	0,923	Phosphate esters	0,880	Phosphoethanolamines	0,918	Phosphoethanolamines	0,918	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Phosphoethanolamines; Amines; Primary amines; Alkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	214,048	71	1,181	650278132032865541	650277898791798789	608	
1	C9H19O11P	[M - H]-	C9H18O11P-	Carbohydrates	0,970	Saccharides	0,766	Monosaccharides	0,478	Organic oxygen compounds	1,000	Organooxygen compounds	0,999	Carbohydrates and carbohydrate conjugates	0,949	Monosaccharides	0,917	Hexoses	0,846	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Monocarboxylic acids and derivatives; Hexoses; Monosaccharides; Monosaccharide phosphates; Secondary alcohols; Carbonyl compounds; Oxanes; Polyols; Alkyl phosphates; Monoalkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	333,060	71	1,182	650278140538916038	650277957746940232	1492	
2	C4H8N2O3	[M - H]-	C4H7N2O3-	Amino acids and Peptides	1,000	Small peptides	1,000	Aminoacids	1,000	Organic acids and derivatives	1,000	Carboxylic acids and derivatives	1,000	Amino acids, peptides, and analogues	0,998	Amino acids and derivatives	0,998	Alpha amino acids	0,992	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Asparagine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	131,046	71	1,182	650278121916200740	650277877191130800	119	
1	H2O4S	[M - H]-	HO4S-	Fatty acids	0,424	Fatty acyls	0,112	Fatty alcohols	0,019	Organic oxygen compounds	1,000	Organic oxoanionic compounds	0,112	Organic peroxomonosulfates	0,631			Organic peroxomonosulfates	0,631	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organic sulfuric acids and derivatives; Sulfuric acid monoesters; Organic peroxomonosulfates; Sulfuric acid esters; Alkyl sulfates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	96,962	71	1,188	650278129205903466	650277871063252171	17	
1	C10H20N2O9	[M - H]-	C10H19N2O9-	Amino acids and Peptides	0,903	Small peptides	0,813	Aminoacids	0,415	Organic acids and derivatives	0,999	Carboxylic acids and derivatives	0,999	Amino acids, peptides, and analogues	0,994	Amino acids and derivatives	0,994	Glycosyl-amino acids	0,692	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carboxylic acids; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Glycosyl-amino acids; Carbonyl compounds; Oxanes; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Oxacyclic compounds; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Asparagine and derivatives; Aspartic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	311,110	71	1,189	650278124797688590	650277940109890887	1288	
1	C13H16N4O8	[M - H]-	C13H15N4O8-	Carbohydrates	0,919	Nucleosides	0,255	Purine nucleosides	0,082	Organic acids and derivatives	0,967	Carboxylic acids and derivatives	0,966	Amino acids, peptides, and analogues	0,684	Amino acids and derivatives	0,687	Alpha amino acids and derivatives	0,646	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Polyols; Amines; Primary amines; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	355,088	71	1,191	650278140467612845	650277966374624173	1612	
1	C10H18N2O8	[M - H]-	C10H17N2O8-	Amino acids and Peptides	0,892	Small peptides	0,415	Aminoacids	0,315	Organic acids and derivatives	0,999	Carboxylic acids and derivatives	0,996	Amino acids, peptides, and analogues	0,980	Amino acids and derivatives	0,979	Alpha amino acids	0,975	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Carboxylic acid derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Glutamic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	293,099	71	1,191	650278138143968005	650277926121886152	1107	
1	C9H13N3O5	[M - H]-	C9H12N3O5-	Amino acids and Peptides	0,999	Small peptides	0,999	Aminoacids	1,000	Organic acids and derivatives	0,999	Carboxylic acids and derivatives	0,999	Amino acids, peptides, and analogues	1,000	Amino acids and derivatives	1,000	Alpha amino acids	0,996	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	242,080	72	1,192	650278145949569611	650277906358324114	792	
1	C5H9NO4	[M - H]-	C5H8NO4-	Amino acids and Peptides	1,000	Small peptides	1,000	Aminoacids	1,000	Organic acids and derivatives	0,997	Carboxylic acids and derivatives	0,996	Amino acids, peptides, and analogues	0,998	Amino acids and derivatives	0,998	Alpha amino acids	0,754	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Amino fatty acids; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Glutamic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	146,046	72	1,193	650278121224140197	650277880756289535	187	
1	C6H13O9P	[M - H]-	C6H12O9P-	Carbohydrates	0,997	Saccharides	0,807	Monosaccharides	0,693	Organic oxygen compounds	1,000	Organooxygen compounds	1,000	Carbohydrates and carbohydrate conjugates	0,982	Monosaccharides	0,959	Hexoses	0,872	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Hexoses; Monosaccharides; Monosaccharide phosphates; Secondary alcohols; Oxanes; Polyols; Alkyl phosphates; Monoalkyl phosphates; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	259,023	72	1,200	650278124965460820	650277912175824361	912	
2	C8H10N2O7	[M - H]-	C8H9N2O7-	Amino acids and Peptides	0,968	Small peptides	0,995	Aminoacids	0,997	Organic acids and derivatives	0,987	Carboxylic acids and derivatives	0,990	Amino acids, peptides, and analogues	0,992	Amino acids and derivatives	0,992	Alpha amino acids	0,888	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Organic nitro compounds; Carboxylic acids; Organic oxoazanium compounds; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	245,043	72	1,206	650278128111189635	650277907545312296	823	
2	C3H9O6P	[M - H]-	C3H8O6P-	Fatty acids	0,917	Glycerophospholipids	0,470	Glycerophosphates	0,281	Lipids and lipid-like molecules	0,676	Glycerophospholipids	0,972	Glycerophosphates	0,963			Glycerophosphates	0,963	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Secondary alcohols; Glycerophosphates; Alkyl phosphates; Monoalkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	171,006	72	1,207	650278128811638706	650277887488148120	320	
2	C4H14N4O6S2	[M - H]-	C4H13N4O6S2-	Amino acids and Peptides	0,599	Small peptides	0,443	Aminoacids	0,692	Organic acids and derivatives	0,949	Carboxylic acids and derivatives	0,251	Amino acids, peptides, and analogues	0,392	Amino acids and derivatives	0,381	Alpha amino acids and derivatives	0,506	Organic compounds; Organosulfur compounds; Alpha amino acids and derivatives; Organic acids and derivatives; Sulfinic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	277,030	72	1,208	650278127523986881	650277918324674523	1010	
3	C6H13ClO6	[M - H]-	C6H12ClO6-	Carbohydrates	0,780	Saccharides	0,775	Monosaccharides	0,729	Organic oxygen compounds	0,998	Organooxygen compounds	0,999	Carbohydrates and carbohydrate conjugates	0,960	Monosaccharides	0,930	Monosaccharides	0,930	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organohalogen compounds; Primary alcohols; Organooxygen compounds; Alkyl chlorides; Organochlorides; Monosaccharides; Secondary alcohols; Polyols; Alkyl halides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	215,032	73	1,216	650278127637233151	650277899303503947	622	
