row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,15_N_GA7_1_23828.mzML Peak area,44_N_BD7_1_23810.mzML Peak area,42_N_BB1_1_23779.mzML Peak area,54_N_BD8_1_23811.mzML Peak area,45_N_BC2_1_23788.mzML Peak area,48_N_BC6_1_23800.mzML Peak area,QC2_N_BB7_1_23799.mzML Peak area,47_N_BE7_1_23819.mzML Peak area,36_N_BE6_1_23818.mzML Peak area,17_N_GB4_1_23833.mzML Peak area,QC5_N_BB7_1_23820.mzML Peak area,6_N_GA5_1_23826.mzML Peak area,25_N_GB1_1_23830.mzML Peak area,50_N_GB8_1_23838.mzML Peak area,48_N_BC6_1_23793.mzML Peak area,49_N_BE4_1_23816.mzML Peak area,14_N_BB8_1_23786.mzML Peak area,52_N_BC5_1_23791.mzML Peak area,33_N_GB6_1_23836.mzML Peak area,31_N_BC1_1_23794.mzML Peak area,19_N_BE2_1_23814.mzML Peak area,26_N_BE1_1_23812.mzML Peak area,46_N_BC4_1_23797.mzML Peak area,41_N_GB7_1_23837.mzML Peak area,35_N_BC7_1_23801.mzML Peak area,13_N_BD5_1_23808.mzML Peak area,37_N_BB6_1_23784.mzML Peak area,39_N_GA8_1_23829.mzML Peak area,43_N_BD6_1_23809.mzML Peak area,32_N_BD1_1_23803.mzML Peak area,51_N_GB5_1_23835.mzML Peak area,52_N_BC5_1_23798.mzML Peak area,QC3_N_BB7_1_23806.mzML Peak area,2_N_BB3_1_23781.mzML Peak area,29_N_BD3_1_23805.mzML Peak area,30_N_GB3_1_23832.mzML Peak area,9_N_GA3_1_23824.mzML Peak area,23_N_BB2_1_23780.mzML Peak area,31_N_BC1_1_23787.mzML Peak area,QC4_N_BB7_1_23813.mzML Peak area,18_N_BC8_1_23802.mzML Peak area,8_N_BB5_1_23783.mzML Peak area,24_N_GB2_1_23831.mzML Peak area,45_N_BC2_1_23795.mzML Peak area,11_N_BE8_1_23821.mzML Peak area,12_N_BD4_1_23807.mzML Peak area,QC8_N_BB7_1_23839.mzML Peak area,46_N_BC4_1_23790.mzML Peak area,QC1_N_BB7_1_23785.mzML Peak area,38_N_GA4_1_23825.mzML Peak area,27_N_BB4_1_23782.mzML Peak area,7_N_BE5_1_23817.mzML Peak area,20_N_GA1_1_23822.mzML Peak area,21_N_BE3_1_23815.mzML Peak area,3_N_BD2_1_23804.mzML Peak area,1_N_BC3_1_23796.mzML Peak area,QC7_N_BB7_1_23834.mzML Peak area,5_N_GA2_1_23823.mzML Peak area,QC6_N_BB7_1_23827.mzML Peak area,
11,92.92843070878082,1.2351489,,,,,,,,,,,2488.0376,1657.4957,1702.7736,2972.6265,2198.422,2223.7964,0,2061.3362,2796.0703,2564.7817,0,1961.4119,2046.3495,2518.2654,2290.0942,1362.9781,1885.5123,1816.3801,1480.5762,2114.4656,3636.391,1881.8181,1591.2205,1643.134,0,3446.325,2536.9805,1995.4696,2921.5874,0,1240.6714,1894.5847,0,5412.1094,2823.8813,2240.557,1081.4111,4325.638,2089.1187,0,2304.4841,719.1282,3523.5728,2074.0093,1111.7721,2095.0256,0,1633.7778,0,2070.9617,2534.4731,0,0,3979.678,0,0,0,0,0,
12,93.03515329569244,5.859765,,,,,,,,,,,3477.446,1789.1969,1325.3469,0,2697.676,4686.1055,4280.7593,2497.3677,5717.9976,4750.82,4195.4995,1432.608,0,0,4652.2417,0,2345.5427,0,3831.6685,8925.583,1179.6995,2392.402,2669.4631,2294.7278,7370.854,3939.2163,3719.0898,2937.6943,3623.5574,11044.096,0,0,4197.574,4215.6494,4146.7334,0,1582.4318,1491.8081,8837.596,4388.2627,3971.415,1146.3394,1518.504,2667.28,2870.9414,1154.507,4028.3938,2429.5674,3928.9443,3168.9695,3146.1912,2554.0066,1397.4229,1151.9153,6188.618,6639.416,3924.6897,6715.174,3936.4028,
13,93.03539735209253,6.740749,,,,,,,,,,,0,0,0,0,0,1054.2383,0,0,0,0,1107.873,0,0,0,0,0,0,0,0,0,0,974.9244,0,0,0,0,0,0,0,1070.4893,0,0,0,0,0,0,0,0,0,0,1237.3397,0,0,0,1481.6738,930.38556,0,0,0,1332.3308,0,1379.2847,0,0,1219.2114,0,0,0,1018.56323,
14,94.9254845059851,1.2359515,,,,,,,,,,,1882.5886,1220.445,1206.7422,2358.924,1507.5492,1769.717,0,1462.8346,2071.216,1907.2408,0,1636.2224,1509.1056,1815.4095,1731.3086,1097.3398,1361.1091,1395.528,1082.6644,1529.5997,2773.3027,1746.2156,1294.3599,1206.0613,0,2545.2812,1904.6226,1494.1255,2284.2505,0,984.09454,1501.3285,0,3963.5337,2107.9116,1666.8928,778.68915,3218.3037,1444.8273,0,1832.531,502.8298,2635.325,1543.5028,839.5143,1632.3593,0,1265.0912,0,1601.1792,1868.7609,0,0,2980.0122,0,0,0,0,0,
15,94.98224415631461,10.809688,,,,,,,,,,,1731.0933,0,0,0,0,1947.8585,2423.9114,0,1787.0604,2290.3918,2444.8135,1968.4872,2619.064,0,1767.4332,0,1209.3147,0,1678.19,2440.0952,2601.7822,2618.3367,1117.6063,1678.2784,3247.874,2626.1875,2373.422,1622.7314,1322.7719,4023.127,0,0,2363.6577,3355.3423,2382.0298,2597.4531,2082.3298,2544.967,2462.257,2548.526,2448.222,1016.26624,2778.3325,0,2052.1287,1519.9653,2655.341,1104.3605,2105.3413,2640.629,1778.6298,1988.7766,2510.1187,2357.6196,3626.7944,3681.767,2534.9062,3515.8462,2454.4011,
16,96.96138814608247,1.8101798,,,,,,,,,,,39716.74,36642.26,47417.395,26410.525,34249.176,46786.273,40028.2,34033.566,41254.22,45055.258,38374.69,40384.3,33757.62,27292.639,46933.69,25888.012,42593.42,22383.459,54670.105,38787.543,48590.113,33790.55,41716.258,40652.25,46249.945,40638.395,44843.754,39118.996,37981.83,51904.52,26290.328,28849.814,35758.94,35910.316,37860.41,41666.8,39542.887,40864.69,39974.598,35984.87,45228.305,49455.703,48540.125,37076.324,49596.83,38786.965,36584.883,41899.49,37809.418,41853.61,33104.082,55466.383,46740.71,39631.797,47877.414,50476.805,37123.773,43395.656,37948.61,
17,96.96135476916797,1.180278,,,,,,,,,,,5991.227,14959.553,87516.19,0,10473.42,11067.66,0,5717.6147,7727.884,0,0,8658.37,0,0,11317.989,0,12239.485,0,21940.56,0,0,5233.375,20584.375,0,0,5720.7085,9858.647,0,5505.6123,0,0,0,0,0,6031.269,9695.075,0,6753.6343,0,0,6671.7383,0,6180.0645,10128.029,0,12928.312,0,22287.354,0,0,5101.2417,0,0,0,0,0,0,0,0,
18,96.9618709769711,1.2985313,,,,,,,,,,,0,19252.707,0,0,15686.801,0,0,4967.0464,0,0,0,0,0,11320.53,0,4573.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7006.116,12658.375,0,0,0,0,0,0,0,0,0,0,0,15774.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,96.96712348825451,6.5803123,,,,,,,,,,,4777.616,0,0,0,0,0,0,0,0,2977.254,0,0,3178.2126,0,0,0,4931.054,0,0,0,0,2491.2952,0,3605.74,0,4382.0786,0,0,0,0,0,0,0,0,0,2445.6162,6651.5693,0,0,0,0,3489.531,0,0,0,0,0,0,0,0,0,0,0,2811.6023,0,0,0,3411.865,0,
20,96.96800800744914,1.3953598,,,,,,,,,,,30048.4,0,0,0,0,0,39784.996,0,36008.44,75707.336,52754.43,51964.72,62611.61,0,34421.613,0,43455.133,0,40150.805,0,40431.57,53330.54,0,75878.305,56203.527,23658.48,36071.48,66962.97,41996.047,25565.096,0,0,36737.547,11598.436,32889.51,44525.613,0,28426.14,0,38618.516,32315.766,70337.6,0,0,0,0,50845.66,43561.66,50481.605,61674.383,43174.758,0,0,55928.348,95024.28,41976.35,53348.363,35685.81,53117.12,
21,96.96804366257781,1.2389542,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31050.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95507.84,0,0,0,0,0,72017.82,0,0,0,0,0,0,61038.047,0,0,0,0,0,0,0,
22,97.06636656023333,4.6486716,,,,,,,,,,,0,2345.632,2739.8982,2522.0586,0,0,2262.889,3069.8816,2203.2266,2419.4138,2300.2605,3569.2703,0,2467.2847,0,1434.4963,2449.167,939.13416,1462.9973,0,3316.416,0,1492.9978,2454.0078,2430.3901,0,0,2551.7827,2004.2849,2283.4934,0,909.5981,2398.3909,1364.2767,1466.121,573.9526,1398.9148,1286.5851,984.62555,2447.1943,1672.4904,2553.2336,1109.0145,0,1692.9668,994.98096,2373.527,1431.5544,2198.7573,1103.1443,1839.955,2453.4248,2831.6606,3322.611,1607.9648,2249.8494,2410.9368,1748.5228,2385.3472,
23,99.00922935968798,4.657116,,,,,,,,,,,5195.0044,5171.47,2710.8357,1342.6005,5354.022,5675.946,7551.31,6761.8765,10027.895,5930.4863,8018.556,3458.0605,12161.621,1729.197,5552.0205,2452.8206,3578.329,1542.4407,5701.733,6411.3745,6454.3647,8305.546,3557.9036,5438.298,6693.9604,4468.1133,7419.2783,4871.1943,6013.822,6402.109,2980.657,1548.0536,7491.5024,3374.922,5702.8755,15077.001,2629.8408,6656.399,6234.6543,7901.227,6613.333,1353.9529,9233.095,5601.7437,3055.0547,3421.635,7884.2886,3433.777,7408.388,5972.9067,5331.0073,2949.8218,7567.6787,7657.695,3770.216,4168.1587,8411.16,4478.962,8522.324,
24,99.00914257747716,15.133117,,,,,,,,,,,1539.5306,1550.2997,2158.4478,1537.7493,2183.9854,1656.5781,1540.8422,1347.1178,1376.3326,1197.3076,1342.7538,1285.1027,1341.2424,1314.2595,1832.2854,1461.4636,1928.8173,1926.3761,1171.6156,1765.7051,1333.7761,1411.2273,1686.7042,1237.3173,1450.15,1602.6318,2079.8152,1254.5099,1340.1833,1365.8083,1440.0421,1890.5905,1374.1064,2210.1748,1508.6136,1253.356,1394.7953,2091.523,1921.5879,1290.2297,1528.6969,2131.4744,1238.9292,2037.28,1299.3906,1573.2728,1163.8944,1753.3561,1781.2014,1329.2504,2000.8904,1326.085,1253.3053,1293.9132,1534.785,1649.5913,1064.3868,1315.7722,1174.5393,
25,99.00914854366404,12.044028,,,,,,,,,,,2509.0557,1694.701,992.4306,549.42535,1222.719,1855.8649,3548.135,1628.3218,6338.3467,3183.5986,4007.462,1525.9028,8818.455,721.64453,1807.204,450.24985,1640.8934,554.8082,5742.1025,5096.6284,4787.0327,5397.5664,1856.6674,2550.8748,2056.1804,2138.8862,2474.1006,2479.9883,2452.2354,2328.8743,398.92233,527.35736,3622.2822,1167.9818,2744.4033,6301.0845,1930.9739,3210.3225,5078.3604,3708.1746,1553.6212,1261.9553,5308.425,1359.3909,2032.0885,844.8161,3917.702,1861.4058,3410.0825,2647.631,4602.958,1145.5288,5391.7217,6715.745,1364.9188,2170.6206,3844.3542,1986.0835,3965.921,
26,99.00937233795192,2.6519556,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1258.0815,0,0,0,0,0,0,0,0,1250.6653,0,0,0,0,0,0,0,0,0,0,0,0,0,1205.8213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,99.04554633203972,2.0481424,,,,,,,,,,,466.05716,928.9661,0,0,395.65433,512.6131,989.99225,0,443.09415,1818.6517,1051.2662,896.51086,398.13116,0,550.5847,0,672.5978,0,619.6468,404.00848,419.0649,1001.3779,468.9934,1812.4695,1226.2074,832.13763,642.2993,732.1968,474.99796,587.3924,0,0,1250.2524,1148.072,826.9667,0,0,0,395.98343,1192.1943,2527.4102,0,459.57095,402.4457,1766.9542,0,1315.6799,507.68216,927.9363,1823.4291,0,489.05627,599.79846,442.92377,2098.2698,2341.0986,1065.4166,1553.0629,1294.8291,
28,100.04089756177879,1.9056395,,,,,,,,,,,1182.9076,1415.2448,1480.605,0,899.15674,1436.2244,1701.1334,1049.8392,799.6057,1189.8264,1823.7141,1852.5723,1918.7294,0,1291.0425,0,771.455,0,941.0723,1708.2423,740.7938,1406.1084,1239.5336,1580.2213,2238.3145,1017.28687,1534.502,1692.6467,1325.1646,2072.5671,0,0,1683.5421,1520.0232,1092.5314,773.88934,1799.9791,552.1978,1746.0303,1763.6077,1667.3884,1936.0593,1078.218,819.3332,4396.403,1261.146,1612.74,1189.197,1595.9524,1913.2002,818.7748,3293.0344,851.56104,1085.8462,3008.9297,1602.2301,1675.1442,1503.6597,1738.7455,
29,102.05646241115045,2.209073,,,,,,,,,,,0,0,0,0,0,499.0846,963.1199,0,1049.6373,581.26184,974.8886,397.95795,0,0,441.1639,0,454.72913,0,686.5082,926.1263,1200.5814,0,367.09204,0,1000.10913,566.3289,785.56226,0,715.9442,1486.9279,0,0,905.8798,1831.6815,676.1673,475.03308,0,1258.0519,897.8941,1021.0194,483.219,0,626.5785,0,0,0,1002.1686,0,826.39087,538.39264,0,0,1084.4282,937.62634,1296.5381,1761.3641,1005.1963,1941.1627,961.98676,
30,103.00413530686752,1.3470961,,,,,,,,,,,0,6354.175,5164.994,0,0,0,8949.584,0,0,0,9153.976,10558.327,13674.121,0,7729.9897,0,8791.824,0,0,0,5922.0366,9711.054,0,0,0,0,0,0,0,0,0,0,8724.754,0,0,8207.089,11460.942,5186.0513,0,9354.49,0,6759.854,0,0,12020.344,0,8789.014,0,8555.126,9472.623,0,10104.225,4787.8843,0,9596.706,8640.539,9095.228,0,9095.941,
31,103.04040537628264,1.5491602,,,,,,,,,,,0,0,0,0,3617.7263,5560.303,0,0,7238.9478,11153.806,0,5844.6875,9034.941,0,5464.2573,0,7150.816,0,6845.664,8712.88,15050.055,7022.0205,5990.657,6934.0015,11861.12,9543.469,8448.8545,7346.8955,8679.98,19335.34,0,0,0,0,11256.876,8412.508,0,7202.551,9400.997,0,7840.1196,4041.6606,6560.7324,3783.1836,7060.9263,3727.8643,0,5739.7705,0,12226.583,7195.159,10719.7,9118.415,12083.31,19061.557,24962.807,0,23438.184,0,
32,103.0404554208826,1.8606719,,,,,,,,,,,14385.295,4484.238,2651.9263,0,8357.372,9257.699,17414.062,14077.285,11636.854,15375.73,17338.49,9795.494,12077.0,0,8679.319,0,12150.698,0,11394.446,14947.466,18080.322,15207.546,9184.358,9785.4375,14720.818,15530.549,12953.964,10896.958,13589.778,23279.678,0,0,17826.738,22604.049,18854.092,12108.561,14307.345,12828.54,12069.648,18557.17,12387.35,6627.7505,11208.623,8184.109,10748.779,8260.276,18001.047,9680.531,15541.001,15603.415,12361.947,15274.443,12942.726,15919.943,23278.215,25757.549,17681.16,27248.059,18155.355,
33,103.04051695434387,1.6092718,,,,,,,,,,,7883.4697,1507.2919,0,0,0,0,10277.795,5225.0806,0,0,11004.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800.118,13659.866,0,0,8023.497,0,0,10836.626,0,0,0,0,0,0,10970.269,0,9352.753,0,0,0,0,0,0,0,11370.941,0,10939.723,
34,103.04053920971475,2.0658708,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2537.8794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2543.8408,0,0,0,0,0,0,0,0,0,4198.133,5723.9614,0,0,0,0,0,
35,105.07137283057969,10.480713,,,,,,,,,,,1749.801,2129.257,1170.5812,1011.1094,2579.4453,2547.602,2244.6536,2532.743,2604.0356,1889.307,2540.9253,1625.5082,3296.2825,1475.1965,2555.3115,1613.4403,956.5332,1016.25616,2013.2599,1866.5323,2592.6926,2160.0442,1143.6583,1918.5294,1741.6982,1753.9154,2039.0033,1848.2466,2152.6157,2928.5886,1007.4809,958.7474,2432.4045,1237.0542,1960.2201,2959.1052,709.6535,2442.395,1806.3392,2519.9165,1533.5541,0,3806.1187,2714.4426,954.5585,1569.0082,2719.5122,1107.379,2219.32,3023.0679,2060.9985,1284.3668,3492.6592,3247.3171,1457.532,1345.4481,2667.7612,1318.1035,2717.0588,
36,109.02965544816651,12.480301,,,,,,,,,,,873.8209,873.6359,0,0,0,1706.143,610.9015,1410.0951,630.9392,623.0409,0,0,0,0,1578.9235,0,416.31763,0,0,659.78125,0,0,1397.8899,0,0,0,492.08508,0,1536.476,0,0,0,534.3135,0,393.8163,590.22565,0,0,610.3435,602.39545,675.23096,0,566.4133,0,0,0,656.8265,1377.3691,560.62854,0,0,0,0,475.0039,0,0,674.4956,0,682.918,
37,109.02971830449987,9.836492,,,,,,,,,,,418.32404,455.2484,0,0,405.30582,908.07825,556.0133,587.68555,780.1247,0,643.9331,601.0425,356.71088,0,899.06805,0,0,0,712.24994,1146.3931,0,410.41327,526.8185,0,654.99225,0,0,0,776.2014,0,0,0,557.59973,0,0,766.5329,0,362.01376,1242.1865,544.4096,463.33398,0,0,453.73264,2719.5808,0,641.24274,506.69653,539.27704,0,0,0,504.9067,0,0,0,716.5502,869.10626,689.9746,
38,109.0297558784795,11.0143585,,,,,,,,,,,0,0,0,0,0,955.921,572.2046,0,0,0,637.16547,0,0,0,930.80786,0,0,0,0,0,0,0,0,0,955.1619,0,0,0,0,0,0,0,571.8375,0,0,0,0,0,0,582.6846,0,969.5988,0,0,4621.2646,0,0,0,0,0,0,980.5717,654.0143,0,1047.5009,672.93616,637.35455,2200.2126,0,
39,109.02992041375205,6.6637526,,,,,,,,,,,983.6989,0,0,0,0,633.13293,1152.8499,0,1561.5109,1362.1531,1243.7104,517.00745,0,0,604.2097,0,1134.4457,0,1072.7933,1578.8907,0,729.0708,0,491.43628,1989.2666,1179.5609,984.2759,718.85223,592.7971,3084.4875,0,0,1115.2998,2161.3462,1463.8838,522.61743,0,0,1701.3569,1142.8704,896.72925,426.73315,0,0,912.87915,0,1178.5068,0,1215.4602,693.9952,915.7635,810.2527,458.07126,0,1660.327,2240.9136,1210.701,2501.138,1248.9222,
40,109.06615684449532,8.59951,,,,,,,,,,,0,729.79395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.9517,0,566.58124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222.6461,0,0,0,0,0,0,0,0,0,661.284,0,0,0,1757.2384,0,0,0,
41,111.00999653350621,1.3746903,,,,,,,,,,,2602.905,0,0,0,760.3209,0,4127.0425,0,0,22328.652,6330.6006,1679.8368,6158.417,0,0,0,2869.1665,0,1655.2872,1584.7279,3348.401,0,2544.0264,12970.136,8590.333,3055.1394,10136.106,7192.8315,0,6457.6143,0,0,4690.693,0,0,3724.157,3947.8892,0,0,5069.6323,17015.498,3967.6196,0,0,13558.199,2150.3555,5358.5776,2829.8452,4014.4897,11461.116,0,7876.5947,826.4131,4487.314,13038.86,17376.95,6731.8374,6026.494,5759.308,
42,111.00989821113659,1.8527929,,,,,,,,,,,1336.6959,0,0,0,0,0,1706.264,0,0,10297.646,2547.9443,0,2466.525,0,0,0,0,0,0,0,1024.1019,0,0,4672.523,0,0,3617.714,2073.7773,0,2356.0505,0,0,1479.7054,882.9707,0,1362.8289,0,0,0,2373.553,7451.2075,0,0,0,0,0,5425.964,0,1643.3591,5035.4966,0,0,1031.974,1799.163,3973.348,8505.4,3268.1262,2007.7296,2036.0355,
43,111.08182357733328,9.187301,,,,,,,,,,,0,0,0,1432.8904,0,0,801.14825,569.93176,0,717.4583,818.97974,0,0,1261.5892,0,1618.1924,0,1586.8688,0,0,0,0,469.54565,0,0,0,0,713.7432,573.5468,0,795.33154,1661.5569,0,0,507.79214,0,0,0,0,780.9341,0,0,0,0,472.3423,0,876.0573,0,788.90216,0,0,0,623.0957,749.1205,0,529.0459,747.48456,0,838.86334,
44,111.0818515318309,5.9001203,,,,,,,,,,,9191.743,30802.035,33783.895,34305.523,6463.4766,0,30413.865,38046.33,29824.336,31727.203,30089.34,40936.516,0,33725.254,0,21141.523,29256.508,14667.984,20540.225,15007.292,39612.414,6151.719,22591.604,30677.146,28709.848,4338.4766,12119.005,31666.162,27786.258,29912.697,3630.1892,14611.772,30784.213,20095.754,21476.945,9349.995,18841.135,19391.785,15003.629,31257.336,23172.822,30839.088,17177.604,6755.0737,22261.781,15778.566,30578.404,21854.457,28121.451,17009.537,24049.639,28967.158,36426.125,40334.67,22491.062,27484.97,29708.63,24917.186,29065.375,
