formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C7H11ClN4O2	[M - H]-	C7H10ClN4O2-	Alkaloids	0.829	Histidine alkaloids	0.258	Imidazole alkaloids	0.253	Organic nitrogen compounds	1.000	Organonitrogen compounds	0.999	Guanidines	0.826	Nitroguanidines	0.903	Nitroguanidines	0.903	Organic compounds; Organoheterocyclic compounds; Organohalogen compounds; Organonitrogen compounds; Guanidines; Aryl chlorides; Organic nitro compounds; Organochlorides; Nitramines; Aryl halides; Carboximidamides; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroguanidines; Organic nitrogen compounds; Chemical entities	217.047	73	1.222	857738068853298595	857736940107351160	857736940107351159	930	
1	C7H10N4O2	[M - H]-	C7H9N4O2-	Alkaloids	0.932	Histidine alkaloids	0.855	Imidazole alkaloids	0.855	Organoheterocyclic compounds	0.997	Azoles	0.806	Imidazoles	0.538			Imidazoles	0.538	Organic compounds; Organoheterocyclic compounds; Imidazoles; Organonitrogen compounds; Azoles; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	181.072	73	1.224	857737937357672465	857736929046969532	857736929046969531	534	
4	C12H22O12	[M - H]-	C12H21O12-	Carbohydrates	0.997	Saccharides	0.999	Disaccharides	1.000	Lipids and lipid-like molecules	0.717	Fatty Acyls	0.817	Fatty acyl glycosides	0.618	Fatty acyl glycosides of mono- and disaccharides	0.558	Fatty acyl glycosides of mono- and disaccharides	0.558	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Sugar acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Disaccharides; Acetals; Secondary alcohols; Beta hydroxy acids and derivatives; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	357.103	74	1.228	857738343777347275	857736985825272174	857736985825272173	2402	
1	C10H12N4O5	[M - H]-	C10H11N4O5-	Amino acids and Peptides	0.862	Small peptides	0.875	Aminoacids	0.683	Organic acids and derivatives	0.956	Carboxylic acids and derivatives	0.877	Amino acids, peptides, and analogues	0.889	Amino acids and derivatives	0.886	Alpha amino acids	0.595	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	267.072	74	1.238	857738158254890737	857736953558486488	857736953558486487	1407	
1	C14H26O13	[M - H]-	C14H25O13-	Carbohydrates	1.000	Saccharides	1.000	Disaccharides	1.000	Lipids and lipid-like molecules	0.357	Fatty Acyls	0.416	Fatty acyl glycosides	0.532	Alkyl glycosides	0.516	Alkyl glycosides	0.516	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Fatty alcohols; Disaccharides; Acetals; Secondary alcohols; Fatty acyl glycosides; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	401.129	74	1.238	857738315436434535	857736995899991885	857736995899991884	2700	
1	C7H8N4O3	[M - H]-	C7H7N4O3-	Alkaloids	0.436	Histidine alkaloids	0.136	Imidazole alkaloids	0.136	Organic 1,3-dipolar compounds	0.902	Allyl-type 1,3-dipolar organic compounds	0.895	Organic nitro compounds	0.833	C-nitro compounds	0.837	Nitroaromatic compounds	0.755	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic nitro compounds; Organic oxoazanium compounds; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	195.051	74	1.239	857738152789712163	857736933220302762	857736933220302761	684	
1	C4H13NO2P2	[M - H]-	C4H12NO2P2-	Alkaloids	0.385	Ornithine alkaloids	0.547	Polyamines	0.845	Organic nitrogen compounds	0.999	Organonitrogen compounds	0.998	Amines	0.992	Primary amines	0.972	Monoalkylamines	0.969	Organic compounds; Organonitrogen compounds; Organophosphorus compounds; Monoalkylamines; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	168.034	75	1.247	857738333639714165	857736925410507324	857736925410507323	406	
2	C21H27F3N4O5S	[M - H]-	C21H26F3N4O5S-	Alkaloids	0.702	Steroids	0.006	Glycerophosphoethanolamines	0.008	Benzenoids	0.993	Benzene and substituted derivatives	0.983	Benzenesulfonamides	0.762			Benzenesulfonamides	0.762	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Benzenesulfonamides; Halobenzenes; Pyrimidines and pyrimidine derivatives; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfones; Alkyl fluorides; Sulfonyls; Dialkyl ethers; Organofluorides; Tertiary alcohols; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Alkyl halides; Aminosulfonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	503.161	75	1.256	857738636149700382	857737011221786488	857737011221786487	3112	
1	C7H12N4O6S	[M - H]-	C7H11N4O6S-	Amino acids and Peptides	0.534	Small peptides	0.113	Saxitoxins	0.057	Organic acids and derivatives	0.987	Carboxylic acids and derivatives	0.523	Amino acids, peptides, and analogues	0.450	Amino acids and derivatives	0.441	Alpha amino acids and derivatives	0.596	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic sulfuric acids and derivatives; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	279.039	76	1.260	857738355823388663	857736956855210010	857736956855210009	1520	
1	C16H19F3N2O7S	[M - H]-	C16H18F3N2O7S-	Alkaloids	0.375	Small peptides	0.009	Pyrimidine nucleosides	0.009	Organic acids and derivatives	0.982	Carboxylic acids and derivatives	0.892	Carboxylic acid derivatives	0.956	Carboxylic acid esters	0.960	Carboxylic acid esters	0.960	Organic compounds; Organosulfur compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Carboxylic acid derivatives; Carboxylic acid esters; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	439.076	76	1.264	857738399267990876	857737002430524066	857737002430524065	2868	
4	C7H16NO7P	[M - H]-	C7H15NO7P-	Carbohydrates	0.995	Saccharides	0.691	Monosaccharides	0.730	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbohydrates and carbohydrate conjugates	0.941	Monosaccharides	0.913	Hexoses	0.524	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Hexoses; Monosaccharides; Monosaccharide phosphates; Secondary alcohols; Polyols; Alkyl phosphates; Monoalkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	256.059	76	1.270	857738163611017396	857736950496644058	857736950496644057	1305	
2	C6H11NO8P2	[M - H]-	C6H10NO8P2-	Amino acids and Peptides	0.909	Small peptides	0.806	Aminoacids	0.903	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.906	Amino acids, peptides, and analogues	0.519	Amino acids and derivatives	0.519	Amino acids and derivatives	0.519	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monocarboxylic acids and derivatives; Carbonyl compounds; Alkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	285.989	76	1.272	857738167356531203	857736958683926854	857736958683926853	1580	
1	C12H18N2O4S2	[M - H]-	C12H17N2O4S2-	Amino acids and Peptides	0.968	Small peptides	0.067	Aminoacids	0.023	Organic acids and derivatives	0.972	Carboxylic acids and derivatives	0.924	Amino acids, peptides, and analogues	0.539	Amino acids and derivatives	0.533	Alpha amino acids and derivatives	0.563	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	317.064	76	1.273	857738174461682507	857736971451390213	857736971451390212	1974	
1	C6H7F3N4O	[M - H]-	C6H6F3N4O-	Alkaloids	0.839	Histidine alkaloids	0.607	Imidazole alkaloids	0.607	Organoheterocyclic compounds	0.995	Azoles	0.589					Azoles	0.589	Organic compounds; Organoheterocyclic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Alkyl fluorides; Organofluorides; Amines; Primary amines; Alkyl halides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	207.051	76	1.273	857738137706994609	857736937200697958	857736937196503653	824	
1	C7H12O6	[M - H]-	C7H11O6-	Shikimates and Phenylpropanoids	0.885	Phenolic acids (C6-C1)	0.981	Simple phenolic acids	0.697	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Alcohols and polyols	0.993	Cyclic alcohols and derivatives	0.977	Cyclitols and derivatives	0.940	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Secondary alcohols; Carbonyl compounds; Polyols; Cyclitols and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	191.057	77	1.277	857738168577073802	857736932230446848	857736932230446847	650	
1	C9H10NO2	[M - H]-	C9H9NO2-	Alkaloids	0.826	Small peptides	0.657	Aminoacids	0.313	Benzenoids	0.978	Phenols	0.743	1-hydroxy-2-unsubstituted benzenoids	0.620			1-hydroxy-2-unsubstituted benzenoids	0.620	Organic compounds; Organoheterocyclic compounds; Phenols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Aralkylamines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	163.062	78	1.296	857739504005724824	857736924508731809	857736924508731808	375	
2	C32H38O17	[M - H]-	C32H37O17-	Shikimates and Phenylpropanoids	0.752	Flavonoids	0.554	Flavones	0.676	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.993	Glycosyl compounds	0.981	Phenolic glycosides	0.773	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alkyl aryl ethers; Alcohols and polyols; Phenols; Anisoles; Benzoic acids and derivatives; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Primary alcohols; Benzoyl derivatives; Organooxygen compounds; Benzoic acid esters; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Vinylogous acids; Organic oxides; Methoxybenzenes; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; 1-hydroxy-4-unsubstituted benzenoids; Phenoxy compounds; Chemical entities	693.209	78	1.300	857739503217195570	857737021028070704	857737021028070703	3402	
1	C7H8N4O2	[M - H]-	C7H7N4O2-	Alkaloids	0.998	Pseudoalkaloids (transamidation)	0.976	Purine alkaloids	0.988	Organoheterocyclic compounds	0.999	Imidazopyrimidines	0.644	Purines and purine derivatives	0.732	Purinones	0.449	6-oxopurines	0.515	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organonitrogen compounds; Azoles; Diazines; 6-oxopurines; Imidazopyrimidines; Substituted imidazoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	179.057	78	1.302	857738499591550192	857736928568818786	857736928568818785	516	
1	C10H18O9	[M - H]-	C10H17O9-	Carbohydrates	0.568	Saccharides	0.736	Monosaccharides	0.674	Organic acids and derivatives	0.961	Hydroxy acids and derivatives	0.748	Beta hydroxy acids and derivatives	0.673			Beta hydroxy acids and derivatives	0.673	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Sugar acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	281.087	78	1.304	857738646287333526	857736957404663929	857736957404663928	1539	
1	C8H10N4O3	[M - H]-	C8H9N4O3-	Alkaloids	0.911	Histidine alkaloids	0.815	Imidazole alkaloids	0.815	Organic 1,3-dipolar compounds	0.791	Allyl-type 1,3-dipolar organic compounds	0.811	Organic nitro compounds	0.826	C-nitro compounds	0.776	Nitroaromatic compounds	0.692	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic nitro compounds; Organic oxoazanium compounds; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	209.067	78	1.304	857738412643627226	857736937532048039	857736937532048038	837	
2	C13H23NO5S2	[M - H]-	C13H22NO5S2-	Amino acids and Peptides	0.884	Amino acid glycosides	0.107	Glucosinolates	0.019	Organic acids and derivatives	0.972	Organic sulfuric acids and derivatives	0.624					Organic sulfuric acids and derivatives	0.624	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic sulfuric acids and derivatives; Carboxylic acid esters; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	336.093	79	1.313	857738497632810136	857736979458317777	857736979458317776	2217	
