SampleID	forward-absolute-filepath	reverse-absolute-filepath
Hv_symrk_HvSC_only_rhizo_6	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_12/AM_12_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_12/AM_12_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_ccamk_HvSC_only_rhizo_1	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_13/AM_13_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_13/AM_13_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_ccamk_HvSC_only_rhizo_2	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_14/AM_14_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_14/AM_14_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_ccamk_HvSC_only_rhizo_3	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_15/AM_15_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_15/AM_15_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_ccamk_HvSC_only_rhizo_4	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_16/AM_16_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_16/AM_16_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_ccamk_HvSC_only_rhizo_5	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_17/AM_17_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_17/AM_17_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_ccamk_HvSC_only_rhizo_6	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_18/AM_18_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_18/AM_18_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp1_HvSC_only_rhizo_1	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_19/AM_19_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_19/AM_19_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp1_HvSC_only_rhizo_2	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_20/AM_20_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_20/AM_20_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp1_HvSC_only_rhizo_3	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_21/AM_21_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_21/AM_21_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp1_HvSC_only_rhizo_4	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_22/AM_22_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_22/AM_22_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp1_HvSC_only_rhizo_5	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_23/AM_23_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_23/AM_23_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp1_HvSC_only_rhizo_6	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_24/AM_24_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_24/AM_24_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp2_HvSC_only_rhizo_1	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_25/AM_25_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_25/AM_25_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp2_HvSC_only_rhizo_2	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_26/AM_26_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_26/AM_26_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp2_HvSC_only_rhizo_3	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_27/AM_27_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_27/AM_27_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp2_HvSC_only_rhizo_4	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_28/AM_28_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_28/AM_28_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp2_HvSC_only_rhizo_5	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_29/AM_29_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_29/AM_29_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp2_HvSC_only_rhizo_6	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_30/AM_30_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_30/AM_30_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_WT_HvSC_only_endo_1	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_95/AM_95_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_95/AM_95_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_WT_HvSC_only_endo_2	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_96/AM_96_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_96/AM_96_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_WT_HvSC_only_endo_3	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_97/AM_97_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_97/AM_97_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_WT_HvSC_only_endo_4	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_98/AM_98_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_98/AM_98_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_WT_HvSC_only_endo_5	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_99/AM_99_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_99/AM_99_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_symrk_HvSC_only_endo_1	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_100/AM_100_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_100/AM_100_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_symrk_HvSC_only_endo_2	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_101/AM_101_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_101/AM_101_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_symrk_HvSC_only_endo_3	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_102/AM_102_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_102/AM_102_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_symrk_HvSC_only_endo_4	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_103/AM_103_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_103/AM_103_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_symrk_HvSC_only_endo_5	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_104/AM_104_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_104/AM_104_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_symrk_HvSC_only_endo_6	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_105/AM_105_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_105/AM_105_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_ccamk_HvSC_only_endo_1	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_106/AM_106_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_106/AM_106_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_ccamk_HvSC_only_endo_2	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_107/AM_107_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_107/AM_107_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_ccamk_HvSC_only_endo_3	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_108/AM_108_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_108/AM_108_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_ccamk_HvSC_only_endo_4	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_109/AM_109_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_109/AM_109_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_ccamk_HvSC_only_endo_5	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_110/AM_110_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_110/AM_110_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_ccamk_HvSC_only_endo_6	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_111/AM_111_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_111/AM_111_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp1_HvSC_only_endo_1	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_112/AM_112_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_112/AM_112_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp1_HvSC_only_endo_2	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_113/AM_113_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_113/AM_113_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp1_HvSC_only_endo_3	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_114/AM_114_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_114/AM_114_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp1_HvSC_only_endo_4	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_115/AM_115_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_115/AM_115_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp1_HvSC_only_endo_5	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_116/AM_116_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_116/AM_116_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp1_HvSC_only_endo_6	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_117/AM_117_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_117/AM_117_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp2_HvSC_only_endo_1	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_118/AM_118_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_118/AM_118_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp2_HvSC_only_endo_2	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_119/AM_119_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_119/AM_119_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp2_HvSC_only_endo_3	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_120/AM_120_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_120/AM_120_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp2_HvSC_only_endo_4	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_121/AM_121_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_121/AM_121_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp2_HvSC_only_endo_5	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_122/AM_122_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_122/AM_122_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
Hv_nsp2_HvSC_only_endo_6	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_123/AM_123_FKDL230034045-1A_HNHHNDRX2_L2_1.fq.gz	/home/amartyn/InRoot/Anna/4_BarleyCSSP_3diaz_HvSC/X204SC23031844-Z01-F001/01.RawData/AM_123/AM_123_FKDL230034045-1A_HNHHNDRX2_L2_2.fq.gz
