row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,neg_230403_AnnaBatch4_448_RB4_1_16949.mzML Peak area,neg_230403_AnnaBatch4_449_RB5_1_16970.mzML Peak area,neg_230403_AnnaBatch4_450_RB6_1_16973.mzML Peak area,neg_230403_AnnaBatch4_451_RB7_1_16955.mzML Peak area,neg_230403_AnnaBatch4_452_RB8_1_16967.mzML Peak area,neg_230403_AnnaBatch4_453_RC1_1_16972.mzML Peak area,neg_230403_AnnaBatch4_454_RC2_1_16958.mzML Peak area,neg_230403_AnnaBatch4_455_RC3_1_16976.mzML Peak area,neg_230403_AnnaBatch4_456_RC4_1_16961.mzML Peak area,neg_230403_AnnaBatch4_457_RC5_1_16956.mzML Peak area,neg_230403_AnnaBatch4_458_RC6_1_16950.mzML Peak area,neg_230403_AnnaBatch4_459_RC7_1_16962.mzML Peak area,neg_230403_AnnaBatch4_460_RC8_1_16979.mzML Peak area,neg_230403_AnnaBatch4_461_RD1_1_16952.mzML Peak area,neg_230403_AnnaBatch4_462_RD2_1_16977.mzML Peak area,neg_230403_AnnaBatch4_463_RD3_1_16954.mzML Peak area,neg_230403_AnnaBatch4_464_RD4_1_16963.mzML Peak area,neg_230403_AnnaBatch4_465_RD5_1_16966.mzML Peak area,neg_230403_AnnaBatch4_466_RD6_1_16957.mzML Peak area,neg_230403_AnnaBatch4_467_RD7_1_16951.mzML Peak area,neg_230403_AnnaBatch4_468_RD8_1_16968.mzML Peak area,neg_230403_AnnaBatch4_469_RE1_1_16969.mzML Peak area,neg_230403_AnnaBatch4_470_RE2_1_16971.mzML Peak area,neg_230403_AnnaBatch4_471_RE3_1_16959.mzML Peak area,
19,107.05116989843533,6.8801827,,,,,,,,,,,0,106.01654,101.16215,121.795364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,109.0662713074173,2.1275833,,,,,,,,,,,0,0,0,0,0,110.04335,0,88.35667,0,72.05636,0,0,0,0,0,0,0,137.84856,77.56617,0,0,0,179.023,86.32039,
21,111.00965304861862,4.359175,,,,,,,,,,,0,0,0,0,0,675.11835,0,0,0,340.12045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,111.00969965329709,4.9097357,,,,,,,,,,,0,0,0,0,74.48727,1325.4504,385.79248,415.55133,124.80178,1219.6373,652.3647,316.54538,258.5177,270.08972,683.18164,160.30412,364.85748,786.6668,471.52826,655.96295,421.3374,820.15894,612.06537,541.0801,
23,111.00970635788987,4.6706448,,,,,,,,,,,0,0,0,0,0,0,0,236.49025,0,0,0,142.33888,0,120.1994,0,0,239.0821,0,0,452.66058,0,0,0,414.4844,
24,111.00973292867097,3.8402722,,,,,,,,,,,0,133.74428,183.12112,225.13799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,111.00973557683885,2.716993,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,543.3216,0,0,0,183.19235,0,0,241.51328,0,0,196.05698,231.26306,189.66647,250.53033,
26,111.00979658694867,4.09279,,,,,,,,,,,147.066,263.57767,217.27768,348.48077,0,0,108.433716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,111.01029185901068,1.3460405,,,,,,,,,,,0,0,0,0,0,351.34244,0,193.35199,0,528.31305,778.0508,144.9962,90.09895,151.65128,1435.69,237.54782,0,0,0,141.57497,363.40543,223.47264,465.03882,499.4433,
28,111.04583366533159,2.2100594,,,,,,,,,,,0,0,0,0,160.70918,399.66608,501.9464,400.09415,0,0,272.39642,155.79376,0,0,70.76266,0,0,0,0,0,0,0,0,0,
29,111.082223487803,7.1344724,,,,,,,,,,,415.7073,470.40604,537.808,535.5485,0,290.1077,353.08905,130.14452,0,289.87695,257.0633,0,112.10827,412.28604,0,174.77223,151.8071,0,132.1096,230.13094,224.84155,260.9681,299.81732,331.60553,
30,111.08223300344453,5.799626,,,,,,,,,,,327.48053,169.87505,256.2681,408.92313,0,0,0,0,0,176.01157,0,296.395,0,280.8499,0,0,0,0,0,280.2655,210.95328,0,0,0,
31,111.08236272986217,8.314195,,,,,,,,,,,254.51884,226.96178,242.30943,254.2617,0,159.804,0,97.41983,0,115.70051,0,0,0,166.88063,0,136.05528,108.959854,0,0,0,0,0,0,0,
32,113.02518085695199,5.8907833,,,,,,,,,,,0,116.324776,159.62976,222.60983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,113.02521674287281,1.8414586,,,,,,,,,,,242.08221,358.07388,371.51425,402.21024,104.42243,398.97534,412.93246,226.1835,0,341.72177,1263.4528,188.13158,313.7319,414.73877,458.98312,318.30438,220.44302,394.6169,351.36127,294.2281,527.3687,433.20343,328.40717,338.18118,
34,113.02542779936749,2.78775,,,,,,,,,,,0,223.63222,285.85312,369.49332,0,166.96918,0,0,0,0,155.32417,0,132.19911,0,0,0,0,99.05606,0,0,107.941574,122.48839,199.20488,96.72944,
35,113.02552122114241,1.4341832,,,,,,,,,,,0,0,0,0,0,0,263.98883,0,0,0,1544.4734,0,502.9648,0,0,0,0,0,0,0,0,0,0,0,
36,113.06161385865494,6.0239673,,,,,,,,,,,0,0,73.94711,136.28285,0,395.72528,169.71771,165.29735,0,348.15677,142.48795,0,0,140.23267,160.76607,0,0,0,0,0,126.311874,0,89.76358,96.90879,
37,113.0976292802034,8.714711,,,,,,,,,,,0,168.73328,156.09924,185.9489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,113.09773157788806,8.164455,,,,,,,,,,,0,94.6601,117.48976,123.113304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,113.09785059549192,9.665594,,,,,,,,,,,370.41397,587.58167,573.8306,793.2446,0,0,0,0,0,0,0,0,0,221.43776,0,0,0,0,0,0,0,0,0,0,
40,115.00425060067664,7.2038174,,,,,,,,,,,0,0,0,0,75.25651,1062.2205,202.91772,355.70322,0,1283.3846,416.51996,281.78302,329.20316,379.0791,539.2324,327.77737,512.1095,686.42065,498.09586,818.0716,507.4387,666.76086,767.6892,1028.2565,
41,115.00429793104868,6.6202874,,,,,,,,,,,0,0,0,0,1868.789,7433.1587,4755.021,3637.6519,343.76447,1559.28,1080.545,1310.8433,747.16595,634.8257,2560.2258,883.67786,3019.396,1019.00275,1920.8864,3392.8455,1162.0837,1216.533,1286.2732,1653.7042,
42,115.00433252149215,1.8487467,,,,,,,,,,,0,0,0,158.64182,186.43268,1359.8392,706.9462,679.4707,0,1513.8881,565.7366,369.01053,812.42645,884.85443,2942.8865,1589.4182,350.14014,1250.1172,360.4552,1174.0769,1103.8481,1378.895,1267.8253,3113.2756,
43,115.00437474847638,1.32625,,,,,,,,,,,0,0,0,158.6399,290.45847,3564.0562,2348.2874,2232.0005,312.86465,2041.669,1418.635,1355.3138,2415.939,2174.7927,29795.361,4707.134,1401.7612,3578.7227,2479.4043,3796.2034,3803.0183,5110.8965,3950.0056,9058.064,
44,115.04070794857205,2.9812047,,,,,,,,,,,3082.8645,4191.859,3878.192,5810.1587,356.8067,1398.3058,1432.1346,874.8444,186.46309,1169.0698,961.49634,403.56534,628.2086,1853.4913,497.77164,874.9137,596.17255,607.15234,396.37875,566.89484,649.4592,622.2064,773.2684,950.4592,
45,115.07696445107233,6.4913664,,,,,,,,,,,0,82.33174,0,111.95412,0,105.968185,0,0,0,87.49689,0,0,0,75.14038,0,0,0,0,0,0,0,0,0,0,
46,115.07700421260907,12.509726,,,,,,,,,,,0,0,0,0,0,194.06981,0,0,0,169.8227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,115.07706759071067,9.497938,,,,,,,,,,,1288.919,954.94965,1452.0374,1622.4742,454.303,462.5879,247.69318,398.02512,438.57993,451.41684,310.56433,489.37347,304.79825,564.48694,365.04468,569.3458,550.50287,284.66183,300.49158,443.07437,338.99347,307.27728,487.48288,650.746,
48,115.07710822654917,6.087794,,,,,,,,,,,0,91.81003,110.26762,111.929054,0,121.66737,0,0,0,127.2162,0,0,0,103.87611,0,0,0,99.002716,0,0,0,0,93.328255,0,
49,116.05077925888587,4.7684274,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.27321,87.04307,0,0,142.65729,0,0,0,0,0,
50,116.07218788693928,2.3880334,,,,,,,,,,,0,0,0,0,0,2198.7507,0,0,0,949.8637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,116.07219739619875,2.9723334,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.71181,0,144.85173,0,0,0,0,0,0,0,
52,116.07229038007026,3.3342018,,,,,,,,,,,0,0,0,0,1219.283,5071.792,2750.5845,3691.2922,456.2011,2046.723,1630.6582,1742.2686,590.8885,669.1231,1824.2456,754.8724,2050.2515,2905.809,1687.3975,3318.7234,1737.4528,1814.4229,2788.7476,3028.6719,
53,116.07226651752384,4.9241757,,,,,,,,,,,0,0,0,0,0,212.25775,80.330086,177.5624,0,112.56001,0,0,113.78612,0,166.06871,148.49176,252.44543,221.60828,137.89177,285.01505,95.90919,137.34328,320.85223,177.33339,
54,116.07237154028142,2.5997071,,,,,,,,,,,0,0,0,0,0,0,0,1494.7408,0,0,0,404.04263,0,0,0,259.3609,409.8338,0,0,845.7009,0,0,1468.3573,979.713,
55,117.01972623203808,1.4385542,,,,,,,,,,,0,0,0,250.96524,0,270.85974,0,0,0,678.414,0,0,0,249.18048,0,261.23227,0,0,0,314.46216,0,0,248.97005,574.88165,
56,117.01992304895704,1.9876109,,,,,,,,,,,485.37604,419.8483,504.91525,866.60126,181.06808,951.3813,734.8118,372.3059,165.92963,1973.6764,1769.7168,319.1154,592.7808,1069.656,9458.763,1129.1407,280.94077,1432.4451,228.56213,890.629,1381.9741,1400.5332,935.14075,1782.3894,
57,117.05583601140967,4.3995504,,,,,,,,,,,0,139.19566,0,0,0,0,70.62185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,117.05606528054945,2.8796575,,,,,,,,,,,214.3453,401.5027,455.4088,524.90485,0,0,200.33046,0,0,186.58243,182.45811,0,0,232.83568,0,0,0,0,0,0,192.808,0,0,0,
59,117.05639661202942,4.9034276,,,,,,,,,,,272.93555,0,0,509.59183,124.23078,948.08295,341.62723,153.03865,89.20723,2129.6362,748.47015,285.9464,0,185.51065,0,84.300156,0,0,0,0,0,0,0,0,
60,117.05641629389834,5.0654273,,,,,,,,,,,384.85843,979.0963,973.09296,833.1621,0,0,143.14264,0,0,0,166.23183,0,0,258.2169,0,127.3824,0,0,0,0,0,0,0,0,
61,119.05067072662318,7.052848,,,,,,,,,,,68.47542,0,0,0,0,182.23169,142.29774,0,0,0,0,0,0,0,136.96307,0,0,151.6355,598.7735,202.23735,0,0,0,178.91194,
62,119.05102603325979,7.3476367,,,,,,,,,,,100.94528,142.12029,113.92812,175.08261,0,238.01717,151.47606,92.50382,0,420.67065,256.22385,196.77005,0,120.05258,0,0,64.06169,0,0,91.080795,0,128.61421,0,78.011,
63,119.08702154738431,8.6143055,,,,,,,,,,,234.28432,244.73164,222.65524,0,142.34767,185.69739,0,179.17114,154.55798,0,0,210.09358,131.5727,186.14539,0,0,178.4717,0,146.92662,186.34438,0,0,154.8652,184.63344,
64,119.08712302748627,10.560701,,,,,,,,,,,27253.21,16845.92,13210.208,23747.049,7775.353,18329.604,6861.3096,10503.764,1957.1334,14404.506,5225.5015,4571.675,6253.9116,16961.672,6188.77,15005.886,10642.242,6032.2812,7879.7085,8377.611,3465.3518,5419.6396,4677.7505,5963.671,
65,119.94762938872434,1.2292305,,,,,,,,,,,8852.2705,9388.441,9195.602,8981.967,0,0,154.89642,0,0,0,0,0,0,235.97453,0,0,0,0,0,0,0,0,0,0,
66,121.02990875951919,6.4968247,,,,,,,,,,,180.93358,0,253.56544,215.68411,0,182.79256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.2439,199.06941,
67,121.02999583362363,5.8631043,,,,,,,,,,,1945.2621,2322.8606,2108.7642,2649.1138,945.15137,1757.3091,947.19086,1479.8549,1075.3109,1831.639,835.28564,1764.5485,806.7614,2563.2117,1050.1273,1760.6224,1447.238,1031.1501,884.4009,1492.2352,904.8547,1362.659,1373.0906,1723.8876,
68,121.03001056113254,8.199444,,,,,,,,,,,3498.9932,2651.2148,3465.874,4766.446,1407.0929,1378.5574,315.31772,525.64215,429.8981,1294.9053,379.2354,562.454,340.13132,1078.3739,500.9373,1029.7716,1182.5104,588.69763,762.8554,708.13696,288.35263,407.57074,366.88428,577.7683,
69,121.03003177299848,7.206756,,,,,,,,,,,0,0,184.29518,268.34393,586.87036,7372.2544,1402.6719,2785.0,502.93182,9805.058,3222.672,2164.5576,2550.274,3099.5652,3983.5598,2481.622,4183.608,5761.6323,4001.2668,6572.1323,3806.9956,5164.545,5535.5815,7860.382,
70,121.03004930290423,6.7292657,,,,,,,,,,,1081.4598,1588.2999,1278.1918,2389.114,219.50293,833.7438,336.9796,417.83893,145.52525,577.22327,383.64297,301.4721,291.2887,614.426,290.74878,497.82846,361.59415,278.96436,440.5811,279.73074,433.1808,337.02548,366.15588,443.04703,
71,121.03005783676814,5.69581,,,,,,,,,,,0,0,0,0,168.6591,1674.8652,570.0646,725.2835,0,1116.669,496.93192,0,264.8073,0,641.2377,767.0811,227.95964,1051.3682,161.99069,663.12976,808.24725,1170.0216,1250.9542,1350.8068,
72,121.03974323963767,3.6577585,,,,,,,,,,,0,0,0,0,167.86624,309.8589,288.63467,0,0,303.9435,510.96677,173.56406,0,0,0,0,0,0,0,0,0,0,0,0,
73,122.02564099487645,5.0436835,,,,,,,,,,,389.80136,769.0272,920.68256,1166.1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,123.04570029502563,6.249803,,,,,,,,,,,169.95609,263.78622,282.41852,340.14343,0,111.14998,78.63775,72.02574,0,0,0,0,0,0,0,0,181.5771,0,0,181.45781,0,0,74.80178,0,
75,125.02515476386449,2.724203,,,,,,,,,,,0,0,0,0,0,947.38214,260.41028,509.60336,0,891.06494,412.00256,140.65735,303.0203,537.78534,414.12366,273.9359,0,435.8124,0,188.83978,265.86844,445.374,192.54622,346.76196,
76,125.02530071303313,2.92355,,,,,,,,,,,84.69883,178.51117,222.3225,341.10608,0,0,0,0,0,181.15482,0,0,0,207.40736,0,0,0,0,0,0,0,0,0,0,
77,125.02534207671332,3.1561334,,,,,,,,,,,0,384.86096,273.63562,475.88858,0,266.7325,219.90186,0,0,214.79604,0,0,0,188.20967,0,0,0,172.44742,0,0,0,128.29602,0,0,
78,125.03518030438993,2.2397366,,,,,,,,,,,388.17755,639.5262,626.57227,786.53033,0,0,213.14003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,125.06087842461488,5.472704,,,,,,,,,,,60.803688,96.27824,0,0,0,162.60324,0,0,0,226.60466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,125.06104679564423,6.059841,,,,,,,,,,,248.1209,109.63511,153.2706,138.97162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,125.09757727434295,8.094296,,,,,,,,,,,701.3341,765.8272,829.64246,778.08466,194.4502,1387.6924,1628.0337,554.9692,193.38638,984.1617,808.32733,525.53986,538.82227,1020.7433,746.3445,626.9201,870.17834,794.45715,690.8974,1028.1125,802.5017,1252.3999,1007.04236,880.8844,
82,125.09758501591608,10.580409,,,,,,,,,,,0,0,102.7507,0,0,543.19324,238.33482,232.46703,0,234.06049,201.92952,154.95508,126.416016,184.7232,149.3228,181.87991,140.25064,0,137.06992,200.62401,164.96803,277.5211,189.81364,197.96558,
83,125.09758919921822,10.17562,,,,,,,,,,,205.79878,222.94984,216.51387,168.84564,0,187.68884,118.053185,105.44452,0,113.53807,0,0,0,0,70.10202,0,0,0,0,103.57076,0,0,0,0,
84,125.0976672562261,6.775662,,,,,,,,,,,2481.8464,1853.0471,2151.3132,2684.3616,851.02014,434.32782,936.47253,1244.3075,936.4271,1900.4279,702.68054,3328.1868,851.14246,2311.7893,1287.6537,895.6723,1175.399,496.16754,1976.4926,3101.112,2319.1624,1810.2546,953.4724,1381.3884,
85,125.09781531375143,9.706539,,,,,,,,,,,94.41271,0,96.01511,153.74825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86,125.87373799025133,1.3489726,,,,,,,,,,,114.69856,237.02608,162.34068,373.6502,0,248.39706,0,162.03531,0,407.2937,0,0,281.704,331.4069,217.97076,280.54297,222.14046,0,301.5706,0,166.2475,367.4819,239.66951,285.70633,
87,126.9052165352466,12.329945,,,,,,,,,,,231.75404,108.65578,0,546.04913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
88,126.90540755167926,11.140987,,,,,,,,,,,192.93213,167.78241,191.66125,469.68774,0,90.81125,183.19931,187.26009,0,168.83698,0,0,0,135.17441,0,110.856415,0,0,0,0,0,0,96.52279,0,
89,127.04030497760715,6.24895,,,,,,,,,,,0,0,111.34207,126.44121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90,127.04042588232582,16.89848,,,,,,,,,,,497.4762,330.01456,293.31995,222.2644,0,97.28374,0,0,0,0,0,0,0,98.978935,70.95207,0,0,0,0,0,0,0,0,0,
91,127.04049092017428,6.989067,,,,,,,,,,,0,96.98234,148.87349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92,127.0406964027257,4.880605,,,,,,,,,,,217.15665,209.29556,345.59006,497.19894,0,340.30853,171.90404,0,0,350.24225,232.97539,0,0,336.03387,96.8797,106.723526,112.05268,105.923515,0,0,110.48566,158.95882,167.287,191.59259,
93,127.04069905043933,2.9282691,,,,,,,,,,,0,271.15552,229.49171,410.52515,0,204.20737,160.75209,0,0,193.57013,137.94739,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,127.04108228275035,2.4793308,,,,,,,,,,,0,0,0,0,0,0,0,0,0,104.51301,265.85904,0,0,349.58313,233.28102,169.82564,0,96.01245,0,0,0,104.86771,0,0,
95,127.07674413365793,6.2025795,,,,,,,,,,,233.08759,0,157.2415,234.55789,0,0,0,0,0,0,0,0,0,124.86146,0,0,0,0,0,0,0,0,0,0,
96,127.07682402159418,5.745465,,,,,,,,,,,160.56108,282.75986,289.867,320.06793,0,133.01234,0,0,0,129.06615,0,0,0,121.34832,0,0,0,0,0,0,0,0,0,108.42092,
97,127.07683107675156,7.2906165,,,,,,,,,,,1050.3302,893.9794,1109.4155,1325.1643,413.44772,1752.4009,706.1254,1023.6135,264.85065,1489.2792,734.6021,534.1784,395.50082,1150.7556,934.8894,889.9045,602.08704,885.472,365.96698,1023.11096,916.6108,903.37885,1370.5112,1521.7179,
98,127.11285119205907,8.879081,,,,,,,,,,,0,0,0,0,0,205.09909,0,0,0,0,0,87.71271,0,188.2694,0,0,0,0,0,0,90.72337,118.83507,0,0,
99,127.11317780443127,9.356996,,,,,,,,,,,0,0,213.86308,0,0,0,0,82.53122,0,0,0,197.38033,0,297.2834,0,0,0,0,172.5726,223.79688,159.14008,0,0,0,
100,127.11317996725288,10.0346,,,,,,,,,,,357.9786,506.187,420.06577,442.36313,0,431.84293,231.24222,0,84.46203,172.15811,183.84866,313.5057,95.99956,444.73068,113.7265,145.55359,150.33836,119.59115,189.39864,289.16327,244.10466,220.64944,205.58563,246.75786,
101,128.03573598721223,1.8371172,,,,,,,,,,,1758.863,1725.4169,1433.7855,2499.0696,705.61414,949.5438,2650.043,0,746.5866,979.7738,964.6055,729.6934,415.46582,1157.4644,1586.4427,852.82996,499.14175,784.44855,761.5995,686.4914,1174.1951,1450.2997,667.09015,656.4404,
102,128.03576839777506,1.3191835,,,,,,,,,,,1167.0087,1086.9323,856.09705,1545.1978,672.08545,1339.1624,2739.771,928.3452,748.635,1017.282,1126.5713,1037.6938,419.30225,1194.91,1523.2239,978.81165,572.89484,873.24304,690.5393,791.7485,791.68915,1522.5886,851.53516,773.74286,
103,128.05001059712922,2.224624,,,,,,,,,,,0,0,0,0,0,0,381.15714,0,0,0,0,0,0,187.07959,562.0623,322.1472,0,0,0,122.60387,162.21544,0,99.58265,0,
104,128.8924387418058,1.163691,,,,,,,,,,,33365.08,35804.504,38728.83,35383.367,1653.1274,36701.16,22212.64,13016.446,270.3512,35558.734,15714.455,1963.3221,12768.71,40282.996,30661.283,14530.432,6239.631,8186.314,1397.2438,4625.769,4223.6123,10006.536,14338.216,12338.265,
105,128.89247965177202,1.7662976,,,,,,,,,,,0,0,0,3387.6946,0,4053.081,385.0127,643.29156,0,3717.902,0,1014.1083,178.25531,4566.5796,522.578,778.46735,964.1382,0,0,636.37286,0,0,287.1496,837.46967,
106,129.01969452480267,3.257254,,,,,,,,,,,303.44406,635.7934,312.15247,447.4225,0,296.711,134.71887,0,0,352.92664,184.6869,0,90.51124,0,0,0,0,202.99342,0,0,131.94583,176.85648,0,0,
107,129.0198945329362,2.3148289,,,,,,,,,,,107.20138,127.865425,132.16855,418.29333,0,513.0203,268.32895,316.22723,0,541.23846,492.37515,0,149.22812,290.1657,350.61844,140.46896,0,674.4922,0,245.6087,881.7087,501.60983,669.5359,334.03317,
108,129.01999088856726,3.0077503,,,,,,,,,,,186.52179,0,245.32437,245.33945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
109,129.05596149560824,4.7962146,,,,,,,,,,,1132.6125,0,836.3141,0,0,0,230.03871,504.11716,0,0,174.65775,0,0,0,0,0,0,122.06208,122.159546,0,210.20078,192.84833,0,0,
110,129.0560491041991,5.3307257,,,,,,,,,,,1431.1157,1228.0979,1091.3162,1741.024,259.48724,1699.6964,547.66315,571.92993,149.7132,1940.7505,450.27826,341.5987,514.39417,1028.197,675.864,764.58826,604.9136,459.733,345.55048,483.7282,272.82986,470.66754,473.07156,531.27844,
111,129.05606552537674,4.932933,,,,,,,,,,,0,750.6747,0,902.53357,128.76184,1216.1912,198.54356,0,0,1824.1672,197.62991,287.8848,278.57022,759.10693,390.2145,501.07333,429.8574,284.55096,146.36751,424.74838,180.46385,264.22806,501.07294,525.3857,
