formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
2	C13H14Cl2N4O3	[M - H]-	C13H13Cl2N4O3-	Alkaloids	0,590	Small peptides	0,049	Purine alkaloids	0,066	Benzenoids	0,985	Benzene and substituted derivatives	0,983	Halobenzenes	0,989	Chlorobenzenes	0,991	Chlorobenzenes	0,991	Organic compounds; Organoheterocyclic compounds; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Organic carbonic acids and derivatives; Ureas; Aryl chlorides; Carboxylic acid derivatives; Chlorobenzenes; Organochlorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	343,037	63	1,046	694879200931284078	694877421304860626	2267	
2	C5H6N4O4S	[M - H]-	C5H5N4O4S-	Alkaloids	0,229	Histidine alkaloids	0,215	Imidazole alkaloids	0,219	Organosulfur compounds	0,970	Thioethers	0,805	Aryl thioethers	0,796	Alkylarylthioethers	0,684	Alkylarylthioethers	0,684	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Triazines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acid esters; Carbonyl compounds; Sulfenyl compounds; Alkylarylthioethers; Organic oxides; 1,2,4-triazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Aryl thioethers; Organic nitrogen compounds; Chemical entities	217,003	64	1,062	694879180869924840	694877373754029463	933	
6	C26H25ClO12S3	[M - H]-	C26H24ClO12S3-	Shikimates and Phenylpropanoids	0,289	Lignans	0,095	Zearalenones	0,043	Benzenoids	0,999	Benzene and substituted derivatives	0,985	Halobenzenes	0,981	Chlorobenzenes	0,977	Chlorobenzenes	0,977	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Halobenzenes; Phenols; Ethers; Organic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Sulfones; Aryl chlorides; Chlorobenzenes; Sulfonyls; Dialkyl ethers; Organochlorides; Carbonyl compounds; Oxanes; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	659,014	65	1,076	694879237698556232	694877466230056419	3388	
5	C4H6O2P2S	[M - H]-	C4H5O2P2S-	Fatty acids	0,652	Monoterpenoids	0,312	Oxygenated hydrocarbons	0,125	Organophosphorus compounds	0,728							Organophosphorus compounds	0,728	Organic compounds; Organophosphorus compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	178,951	65	1,078	694879224767515972	694877359728274747	505	
9	C14H14N8O8S3	[M - H]-	C14H13N8O8S3-	Amino acids and Peptides	0,999	β-lactams	1,000	Cephalosporins	0,942	Organic acids and derivatives	1,000	Carboxylic acids and derivatives	0,999	Amino acids, peptides, and analogues	0,988	Amino acids and derivatives	0,988	N-acyl-alpha amino acids and derivatives	0,966	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Thiazines; Azetidines; Tetrazoles; Lactams; Beta lactams; Cephems; Cephalosporins; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; 1,3-thiazines; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Thiohemiaminal derivatives; Carbonyl compounds; Sulfenyl compounds; Dialkylthioethers; Alkylarylthioethers; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Aryl thioethers; Organic nitrogen compounds; Chemical entities	517,003	65	1,078	694879191577984740	694877457216495919	3149	
1	C17H21ClN4O3S	[M - H]-	C17H20ClN4O3S-	Alkaloids	0,449	Pseudoalkaloids (transamidation)	0,453	Purine alkaloids	0,228	Organoheterocyclic compounds	0,999	Imidazopyrimidines	0,982	Purines and purine derivatives	0,987	Xanthines	0,866	Xanthines	0,866	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Halobenzenes; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Xanthines; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Alkaloids and derivatives; Pyrimidones; Organooxygen compounds; Azoles; Purinones; Aryl chlorides; Chlorobenzenes; Thioethers; Diazines; 6-oxopurines; Organochlorides; Imidazopyrimidines; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Aryl halides; Sulfenyl compounds; Alkylarylthioethers; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Aryl thioethers; Organic nitrogen compounds; Chemical entities	395,096	73	1,210	694879236037611796	694877435636799271	2640	
1	C10H12ClNO10P2	[M - H]-	C10H11ClNO10P2-	Polyketides	0,128	Glycerophospholipids	0,012	Halogenated fatty acids	0,030	Organic acids and derivatives	0,995	Organic phosphoric acids and derivatives	0,990	Phosphate esters	0,960	Alkyl phosphates	0,635	Dialkyl phosphates	0,715	Organic compounds; Organic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Alkyl chlorides; Organic nitro compounds; Organochlorides; Alkyl halides; Alkyl phosphates; Dialkyl phosphates; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities	401,954	73	1,213	694879191892557599	694877438014969964	2705	
2	C3H3Cl2N2OP	[M - H]-	C3H2Cl2N2OP-	Alkaloids	0,402	Histidine alkaloids	0,135	Imidazole alkaloids	0,133	Organic acids and derivatives	0,425	Organic phosphoric acids and derivatives	0,669	Organic phosphoramides	0,827	Organic phosphoric acid diamides	0,549	Organic phosphoric acid diamides	0,549	Organic compounds; Organoheterocyclic compounds; Organohalogen compounds; Organonitrogen compounds; Organic phosphoric acids and derivatives; Alkyl chlorides; Organic phosphoramides; Organochlorides; Alkyl halides; Organic phosphoric acid diamides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	182,930	73	1,219	694879209567356753	694877361091423752	546	
2	C5H13O7P	[M - H]-	C5H12O7P-	Carbohydrates	0,732	Saccharides	0,349	Monosaccharides	0,346	Organic acids and derivatives	0,996	Organic phosphoric acids and derivatives	0,998	Phosphate esters	0,994	Alkyl phosphates	0,992	Monoalkyl phosphates	0,938	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Monosaccharides; Secondary alcohols; Polyols; Alkyl phosphates; Monoalkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	215,033	73	1,220	694879228294926217	694877372747396348	902	
1	C8H13NO10P2	[M - H]-	C8H12NO10P2-	Amino acids and Peptides	0,254	Small peptides	0,549	Aminoacids	0,612	Organic acids and derivatives	0,999	Carboxylic acids and derivatives	0,993	Amino acids, peptides, and analogues	0,973	Amino acids and derivatives	0,973	Alpha amino acids and derivatives	0,968	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organophosphorus compounds; Carboxylic acid derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	343,995	73	1,221	694879272842633855	694877422223413292	2285	
1	C8H14N2OS2	[M - H]-	C8H13N2OS2-	Alkaloids	0,161	Fatty amides	0,020	Polyamines	0,042	Organic nitrogen compounds	1,000	Organonitrogen compounds	1,000					Organonitrogen compounds	1,000	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Thiocarbonyl compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	217,047	73	1,221	694879215133198709	694877373812749729	935	
1	C17H16N4O6S2	[M - H]-	C17H15N4O6S2-	Amino acids and Peptides	0,996	Peptide alkaloids	0,051	Indole diketopiperazine alkaloids (L-Trp, L-Ala)	0,063	Organic acids and derivatives	0,996	Carboxylic acids and derivatives	0,971	Amino acids, peptides, and analogues	0,723	Amino acids and derivatives	0,716	Alpha amino acids and derivatives	0,842	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrroles; Thiazoles; Lactams; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Substituted pyrroles; Benzenoids; Indoles; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	435,044	73	1,222	694879241448264857	694877443538868953	2827	
1	C7H10N4O2	[M - H]-	C7H9N4O2-	Alkaloids	0,928	Histidine alkaloids	0,900	Imidazole alkaloids	0,899	Organoheterocyclic compounds	0,996	Azoles	0,781					Azoles	0,781	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azoles; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	181,071	73	1,224	694879214705379634	694877360734907857	535	
3	C13H18N4O8	[M - H]-	C13H17N4O8-	Carbohydrates	0,989	Nucleosides	0,294	Purine nucleosides	0,241	Organic oxygen compounds	0,999	Organooxygen compounds	0,997	Carbohydrates and carbohydrate conjugates	0,983	Glycosyl compounds	0,908	Glycosylamines	0,528	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Glycosylamines; Polyols; Organic 1,3-dipolar compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	357,103	74	1,232	694879211953915889	694877426300277360	2401	
2	C9H22N2O8P2	[M - H]-	C9H21N2O8P2-	Fatty acids	0,438	Small peptides	0,057	Glycerophosphocholines	0,083	Organic acids and derivatives	0,997	Organic phosphoric acids and derivatives	0,922	Organic phosphoramides	0,747			Organic phosphoramides	0,747	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Organic phosphoramides; Carbonyl compounds; Amines; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	347,075	75	1,248	694879260796591895	694877423448150210	2315	
1	C4H11NO4S	[M - H]-	C4H10NO4S-	Alkaloids	0,211	Ornithine alkaloids	0,040	Polyamines	0,111	Organic acids and derivatives	0,999	Organic sulfuric acids and derivatives	0,969	Sulfuric acid esters	0,908	Sulfuric acid monoesters	0,902	Sulfuric acid monoesters	0,902	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic sulfuric acids and derivatives; Sulfuric acid monoesters; Trialkylamines; Amines; Tertiary amines; Sulfuric acid esters; Alkyl sulfates; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	168,033	75	1,249	694879242266154400	694877355928234833	407	
1	C15H22N4O9	[M - H]-	C15H21N4O9-	Carbohydrates	0,919	Aminosugars and aminoglycosides	0,350	Purine nucleosides	0,164	Organic acids and derivatives	0,856	Carboxylic acids and derivatives	0,873	Amino acids, peptides, and analogues	0,506	Amino acids and derivatives	0,511	Alpha amino acids and derivatives	0,513	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Organic 1,3-dipolar compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	401,129	75	1,249	694879263439003582	694877437801060425	2698	
2	C6H12O7	[M - H]-	C6H11O7-	Carbohydrates	0,753	Saccharides	0,839	Monosaccharides	0,767	Organic acids and derivatives	0,979	Hydroxy acids and derivatives	0,692	Beta hydroxy acids and derivatives	0,647			Beta hydroxy acids and derivatives	0,647	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Dicarboxylic acids and derivatives; Hydroxy acids and derivatives; Carboxylic acids; Carboxylic acid esters; Monosaccharides; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Polyols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	195,051	75	1,250	694879244795320334	694877365726130372	686	
1	C10H12N4O5	[M - H]-	C10H11N4O5-	Amino acids and Peptides	0,391	Nucleosides	0,845	Aminoacids	0,312	Organic acids and derivatives	0,984	Carboxylic acids and derivatives	0,973	Amino acids, peptides, and analogues	0,981	Amino acids and derivatives	0,980	Alpha amino acids	0,913	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Carboxylic acids; Carbonyl compounds; Glycosylamines; Substituted imidazoles; Alpha amino acids; Amines; Primary amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	267,072	75	1,251	694879262428176220	694877389323288307	1410	
3	C16H24O4P2	[M - H]-	C16H23O4P2-	Terpenoids	0,136	Glycerophospholipids	0,233	Cinnamic acids and derivatives	0,006	Organic acids and derivatives	0,999	Organic phosphoric acids and derivatives	0,997	Phosphate esters	0,989	Aryl phosphates	0,552	Aryl phosphates	0,552	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Benzenoids; Alkyl phosphates; Dialkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Aryl phosphates; Chemical entities	341,109	76	1,260	694879254257671298	694877420524719972	2245	
2	C21H28N8O3S2	[M - H]-	C21H27N8O3S2-	Amino acids and Peptides	0,383	Pseudoalkaloids (transamidation)	0,131	Purine alkaloids	0,405	Organosulfur compounds	0,981	Thioethers	0,960	Aryl thioethers	0,956	Alkylarylthioethers	0,917	Alkylarylthioethers	0,917	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Pyrimidines and pyrimidine derivatives; Thiazoles; Alcohols and polyols; Lactams; Piperazines; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Azoles; Ureas; Thioethers; Diazines; Trialkylamines; Diazinanes; Amines; Tertiary amines; Sulfenyl compounds; N-alkylpiperazines; Alkylarylthioethers; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Aryl thioethers; Organic nitrogen compounds; Chemical entities	503,161	76	1,260	694879281248019752	694877455698157691	3113	
